text,Sentiment
 Galing mang baliktad ni Marcoleta mantalang napanuod ng buong bansa kung paano siya magwork as the former blue ribbon at protektahan ang mga Discayas.,Negative
"Netizens were asking how Escudero was able to purchase a Paraiba tourmaline ring that’s almost three times higher than his declared net worth.

Read more at: https://t.co/sCAP9eX0PU

#SALN #heartevangelista #ChizEscudero #DailyTribune https://t.co/nZrVfj4dyY",Neutral
"Netizens were asking how Escudero was able to purchase a Paraiba tourmaline ring that’s almost three times higher than his declared net worth.

Read more at: https://t.co/sCAP9eX0PU

#HeartEvangelista #ChizEscudero #DailyTribune https://t.co/UpoTqPHkdB",Neutral
"The Civil Aviation Authority of the Philippines sought to assure the public that the three aircraft linked to former lawmaker Elizaldy Co, which had left the country before the government could move to seize them, cannot be sold or re-registered abroad.

https://t.co/rUwAGoWJNC",Neutral
"Espinas of Biliran face Plunder Raps over P1B DPWH Infra Projects 

https://t.co/tPGtpc64Zo",Neutral
"@776109641341820 Kasing sira ng mukha mo yung script ng Marcoleta at Defensor nyo. Pati AFP at Marines, dinamay nyo pa sa budol witness nyo. Sige, murahin nyo Marines. Tawagin nyo sila sinungaling. File Disbarment against Marcoleta.. Mag pa demarbrasion ka ng mukha mo. https://t.co/oLADE4R2O9",Negative
"@388043756860081 Gonggong ka Cece@766270794617090! In what ground naman para mag Resign si PBBM! He is doing good in running the government. Ayon nga o nabawasan na ang utang ng bansa, dahil yan sa magandang takbo ng gobyerno. Sino naman ang gusto niyo pumalit? Si SaraMao kawawa naman ang Bansa.",Negative
@471894333363191 Kasinungalingan na 18million lang ang halaga ng SALN ni Chiz Escudero @106896297458694 . Tinatarantado ng hayooop na to ang taumbayan ah.,Negative
"“Independent Commission for Infrastructure Chairman Andres Reyes VOWED TO SPARE NO ONE from the flood control mess.” ~ NewsWatch Plus Philippines

Hmmm. Okay.
#BenefitOfTheDoubt https://t.co/ABVXw0tBUz",Positive
"Naniniwala si Pangulong Ferdinand Marcos Jr. na mababawasan ang korapsyon dahil sa pagpapababa ng halaga sa materyales ng mga proyektong pang-imprastraktura ng Department of Public Works and Highways o DPWH.

https://t.co/CLuZwW3kHE",Positive
